center,metric,order_id,missing_date_field
ZWVMUKRQ Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,QGP-HDG2109,tumor_pickup_date
PJYCIDIZ Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,VIV-EHF1011,tumor_pickup_date
ZIFYQHQN Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,BEK-UUG4172,tumor_pickup_date
TPYWTPHK Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,JZU-FSH3262,tumor_pickup_date
TQBHETAF Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,SWE-LDH4883,tumor_pickup_date
CURLLWCS Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,WMR-KWD2072,tumor_pickup_date
COXBWVHQ Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,PLW-IFE2404,tumor_pickup_date
NHYYMAPO Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,YFA-SNV1058,tumor_pickup_date
JXMSLGTZ Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,ZKR-NFI5144,tumor_pickup_date
QOYKHBAJ Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,DEF-CIO3345,tumor_pickup_date
OMUGYION Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,IFK-AMY3171,tumor_pickup_date
VBLPNRUK Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,WSU-YGC5342,tumor_pickup_date
OQOOCOUH Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,IBX-BFA4530,tumor_pickup_date
QCQSPCNY Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,GLM-UJA3277,tumor_pickup_date
KIXJBMUE Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,OVG-STT3348,tumor_pickup_date
ICPXZFGA Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,CSF-GWW7352,tumor_pickup_date
TTJGAYYG Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,DAH-FBI5120,tumor_pickup_date
ZUIZMNLD Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,NLN-HYJ8346,tumor_pickup_date
ZUIZMNLD Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,MFW-WEI2902,tumor_pickup_date
FCNZTTSU Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,ICL-MRE1401,tumor_pickup_date
TTJGAYYG Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,QSG-JYW4235,tumor_pickup_date
NHYYMAPO Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,OEB-MUD4126,tumor_pickup_date
VBLPNRUK Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,IGW-PJW9354,tumor_pickup_date
PJYCIDIZ Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,FDK-OEI7906,tumor_pickup_date
LDOASBFE Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,YCQ-YIB8408,tumor_pickup_date
PAJLZFHK Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,OLP-ELT3187,tumor_pickup_date
YWMQFUON Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,CRJ-NXG6849,tumor_pickup_date
ZWVMUKRQ Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,HRV-XKL1045,tumor_pickup_date
DPCQQCTK Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,RHN-RCO7257,tumor_pickup_date
KFWUASCT Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,ZKR-ESH5864,tumor_pickup_date
VIZNTWUW Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,CXT-FQI7123,tumor_pickup_date
ZDHNYSTP Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,IFX-EYM9356,tumor_pickup_date
ZWAGVBWH Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,PDM-ZVA5506,tumor_pickup_date
AZEPEYTU Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,FFV-SXU9122,tumor_pickup_date
YWMQFUON Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,QRQ-CBC7720,tumor_pickup_date
ZRKKKVIE Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,LCR-NCM7331,tumor_pickup_date
TPYWTPHK Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,MSO-JPI9777,tumor_pickup_date
LJERGHUY Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,GQR-XAK1554,tumor_pickup_date
LDOASBFE Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,QXP-EZP2733,tumor_pickup_date
ZPLJPPHA Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,OUX-OIZ9661,tumor_pickup_date
QOYKHBAJ Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,MYX-PZR0913,tumor_pickup_date
NHYYMAPO Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,JZW-ZEM1852,tumor_pickup_date
DQVCSDTK Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,ISW-SUV3037,tumor_pickup_date
PGIJNJTI Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,PUG-HKF3334,tumor_pickup_date
LDOASBFE Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,PIJ-VMS1121,tumor_pickup_date
PJYCIDIZ Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,MEN-VSV6820,tumor_pickup_date
OETRXTJZ Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,KTZ-SXA1651,tumor_pickup_date
KYRCVVUX Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,JVE-BEU4010,tumor_pickup_date
DHGRSSYT Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,WQZ-YKS5476,tumor_pickup_date
CCLXDLSF Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,YKP-LIC5955,tumor_pickup_date
XGZYEENB Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,FBX-YGB6585,tumor_pickup_date
IACCUSSM Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,MSK-GLN1119,tumor_pickup_date
LDOASBFE Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,RUO-OTW2740,tumor_pickup_date
TVLUVKXH Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,UCP-FCK5239,tumor_pickup_date
ETSJBZLX Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,CDV-YPA8659,tumor_pickup_date
ZIFYQHQN Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,DVW-TNK8857,tumor_pickup_date
ZWAGVBWH Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,JBY-QZO1341,tumor_pickup_date
HLZZDXCT Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,ZPJ-LEO4709,tumor_pickup_date
DOOJIVLV Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,DAJ-DWZ9953,tumor_pickup_date
OMUGYION Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,FLT-RCW9435,tumor_pickup_date
JPSWBFHI Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,OME-OTA5959,tumor_pickup_date
TQBHETAF Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,SCT-CFK6023,tumor_pickup_date
ETSJBZLX Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,MYQ-JFQ2945,tumor_pickup_date
YWMQFUON Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,DGR-WOE9745,tumor_pickup_date
VXFXDNMI Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,IBE-YNX9038,tumor_pickup_date
UUURMSHU Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,VJT-YTG6246,tumor_pickup_date
ADBVXDTE Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,HAV-SDJ2996,tumor_pickup_date
QUTDVNIN Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,OEA-KPV8449,tumor_pickup_date
ETSJBZLX Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,JJY-PYS8199,tumor_pickup_date
FCNZTTSU Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,RJW-KWT7973,tumor_pickup_date
GRQDVFUA Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,SVN-YUB2717,tumor_pickup_date
AZEPEYTU Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,HFD-ERM0584,tumor_pickup_date
ZWVMUKRQ Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,DGG-QCR4388,tumor_pickup_date
WLHAJVAX Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,AEK-DJD8537,tumor_pickup_date
YWMQFUON Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,QMG-TSZ8373,tumor_pickup_date
UBEMEIRD Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,USV-DWO8660,tumor_pickup_date
UQKVOLLF Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,KVD-EDO9688,tumor_pickup_date
AUIRKJXC Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,YBQ-UUP7971,tumor_pickup_date
NDVLNJEY Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,KZL-CSS2831,tumor_pickup_date
GZIUPUQQ Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,EBW-APV3276,tumor_pickup_date
RXWMUILN Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,WFO-ZAE1311,tumor_pickup_date
SHVPOEMW Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,PKL-YDX4560,tumor_pickup_date
VXFXDNMI Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,COP-DER4160,tumor_pickup_date
VDLDOYCK Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,OOH-AYY9261,tumor_pickup_date
JXMSLGTZ Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,QPQ-ALE3626,tumor_pickup_date
SHVPOEMW Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,QLZ-TBN8072,tumor_pickup_date
TQBHETAF Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,WJO-TCS3547,tumor_pickup_date
TTJGAYYG Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,MFQ-NOP7000,tumor_pickup_date
DOOJIVLV Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,CHD-HAH7737,tumor_pickup_date
PAJLZFHK Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,YCN-SJV0171,tumor_pickup_date
HLNGGGZT Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,LRM-TWL2589,tumor_pickup_date
YNXCCVCB Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,LPD-NLD2711,tumor_pickup_date
JPSWBFHI Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,CWJ-JDN3914,tumor_pickup_date
ZWVMUKRQ Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,XUT-NWF8532,tumor_pickup_date
IACCUSSM Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,LUM-ZTA9903,tumor_pickup_date
OLNOADGC Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,PZZ-MRC9037,tumor_pickup_date
YNXCCVCB Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,SAS-WXC2092,tumor_pickup_date
LDOASBFE Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,GNW-QDS4372,tumor_pickup_date
YLEVQSCI Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,IFY-EXZ3675,tumor_pickup_date
MLEJGHRQ Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,BII-XXL2463,tumor_pickup_date
PJYCIDIZ Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,WZE-TNP5845,tumor_pickup_date
ICPXZFGA Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,GQV-USI3031,tumor_pickup_date
ODHOICRR Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,DMY-GWM5295,tumor_pickup_date
DYKMMUBC Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,MAK-UWG4645,tumor_pickup_date
HMRMLYEO Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,FHH-MMA8863,tumor_pickup_date
MDRMIFOR Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,RJM-ZPL4255,tumor_pickup_date
KIXJBMUE Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,XVQ-BIL7863,tumor_pickup_date
LRRMWOCT Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,JDA-WLO9197,tumor_pickup_date
LMQUWARC Cancer Center,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,FVF-ZSI1958,tumor_pickup_date
NBMEXGFG Cancer Center,OOS Products,HRX-AAA1086,fp_delivery_date
OLNOADGC Cancer Center,OOS Products,FFT-BQY7408,fp_delivery_date
VVYCWBMP Cancer Center,OOS Products,FHY-LGZ4999,fp_delivery_date
LDOASBFE Cancer Center,OOS Products,DBO-HLD2464,fp_delivery_date
DPCQQCTK Cancer Center,OOS Products,RLM-GZK8408,fp_delivery_date
ZRKKKVIE Cancer Center,OOS Products,ABZ-WSV0030,fp_delivery_date
YWMQFUON Cancer Center,OOS Products,FWI-FTC8882,fp_delivery_date
DOOJIVLV Cancer Center,OOS Products,WZO-LSC8302,fp_delivery_date
KFWUASCT Cancer Center,OOS Products,SGT-OYR8997,fp_delivery_date
QOYKHBAJ Cancer Center,OOS Products,TIY-WXF7119,fp_delivery_date
UQKVOLLF Cancer Center,OOS Products,IFN-RGT6190,fp_delivery_date
VBLPNRUK Cancer Center,OOS Products,PXJ-VNW4636,fp_delivery_date
NBMEXGFG Cancer Center,OOS Products,CAW-WBB7536,fp_delivery_date
XGZYEENB Cancer Center,OOS Products,AOA-RXQ6898,fp_delivery_date
LJERGHUY Cancer Center,OOS Products,GQR-XAK1554,fp_delivery_date
ZHDMNRIY Cancer Center,OOS Products,RCG-XIT3984,fp_delivery_date
VXFXDNMI Cancer Center,OOS Products,RZW-WCA9240,fp_delivery_date
XGZYEENB Cancer Center,OOS Products,AMQ-TXQ7233,fp_delivery_date
QOYKHBAJ Cancer Center,OOS Products,KMV-FLZ3129,fp_delivery_date
AZEPEYTU Cancer Center,OOS Products,SQQ-PYI4259,fp_delivery_date
LRRMWOCT Cancer Center,OOS Products,EHH-GIH6376,fp_delivery_date
GZIUPUQQ Cancer Center,OOS Products,QED-KKX0372,fp_delivery_date
ZDHNYSTP Cancer Center,OOS Products,IAZ-ORV6672,fp_delivery_date
KYRCVVUX Cancer Center,OOS Products,VSE-DWX9188,fp_delivery_date
OETRXTJZ Cancer Center,OOS Products,BLB-EKT6095,fp_delivery_date
UQKVOLLF Cancer Center,OOS Products,JJW-MGL0132,fp_delivery_date
YNXCCVCB Cancer Center,OOS Products,ZHJ-AGG7323,fp_delivery_date
TTJGAYYG Cancer Center,OOS Products,PXF-KOB9818,fp_delivery_date
YWMQFUON Cancer Center,OOS Products,OQM-QJD9672,fp_delivery_date
ADBVXDTE Cancer Center,Patient Progression Rate,,tumor_pickup_date
ADBVXDTE Cancer Center,Patient Progression Rate,,tumor_pickup_date
ADBVXDTE Cancer Center,Patient Progression Rate,,tumor_pickup_date
ADBVXDTE Cancer Center,Patient Progression Rate,,tumor_pickup_date
ADBVXDTE Cancer Center,Patient Progression Rate,,tumor_pickup_date
ADBVXDTE Cancer Center,Patient Progression Rate,,tumor_pickup_date
ADBVXDTE Cancer Center,Patient Progression Rate,,tumor_pickup_date
ADBVXDTE Cancer Center,Patient Progression Rate,,tumor_pickup_date
ADBVXDTE Cancer Center,Patient Progression Rate,,tumor_pickup_date
ADBVXDTE Cancer Center,Patient Progression Rate,,tumor_pickup_date
ATMSRLIQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
ATMSRLIQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
ATMSRLIQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
ATMSRLIQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
ATMSRLIQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
ATMSRLIQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
ATMSRLIQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
AUIRKJXC Cancer Center,Patient Progression Rate,,tumor_pickup_date
AUIRKJXC Cancer Center,Patient Progression Rate,,tumor_pickup_date
AUIRKJXC Cancer Center,Patient Progression Rate,,tumor_pickup_date
AUIRKJXC Cancer Center,Patient Progression Rate,,tumor_pickup_date
AUIRKJXC Cancer Center,Patient Progression Rate,,tumor_pickup_date
AUIRKJXC Cancer Center,Patient Progression Rate,,tumor_pickup_date
AZEPEYTU Cancer Center,Patient Progression Rate,,tumor_pickup_date
AZEPEYTU Cancer Center,Patient Progression Rate,,tumor_pickup_date
AZEPEYTU Cancer Center,Patient Progression Rate,,tumor_pickup_date
AZEPEYTU Cancer Center,Patient Progression Rate,,tumor_pickup_date
AZEPEYTU Cancer Center,Patient Progression Rate,,tumor_pickup_date
AZEPEYTU Cancer Center,Patient Progression Rate,,tumor_pickup_date
AZEPEYTU Cancer Center,Patient Progression Rate,,tumor_pickup_date
AZEPEYTU Cancer Center,Patient Progression Rate,,tumor_pickup_date
AZEPEYTU Cancer Center,Patient Progression Rate,,tumor_pickup_date
AZEPEYTU Cancer Center,Patient Progression Rate,,tumor_pickup_date
AZEPEYTU Cancer Center,Patient Progression Rate,,tumor_pickup_date
CCLXDLSF Cancer Center,Patient Progression Rate,,tumor_pickup_date
CCLXDLSF Cancer Center,Patient Progression Rate,,tumor_pickup_date
CCLXDLSF Cancer Center,Patient Progression Rate,,tumor_pickup_date
CCLXDLSF Cancer Center,Patient Progression Rate,,tumor_pickup_date
CCLXDLSF Cancer Center,Patient Progression Rate,,tumor_pickup_date
CCLXDLSF Cancer Center,Patient Progression Rate,,tumor_pickup_date
CCLXDLSF Cancer Center,Patient Progression Rate,,tumor_pickup_date
CCLXDLSF Cancer Center,Patient Progression Rate,,tumor_pickup_date
CCLXDLSF Cancer Center,Patient Progression Rate,,tumor_pickup_date
CCLXDLSF Cancer Center,Patient Progression Rate,,tumor_pickup_date
CCLXDLSF Cancer Center,Patient Progression Rate,,tumor_pickup_date
CCLXDLSF Cancer Center,Patient Progression Rate,,tumor_pickup_date
CCLXDLSF Cancer Center,Patient Progression Rate,,tumor_pickup_date
CCLXDLSF Cancer Center,Patient Progression Rate,,tumor_pickup_date
CCLXDLSF Cancer Center,Patient Progression Rate,,tumor_pickup_date
COXBWVHQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
COXBWVHQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
COXBWVHQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
COXBWVHQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
COXBWVHQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
COXBWVHQ Cancer Center,Patient Progression Rate,,tumor_pickup_date
CURLLWCS Cancer Center,Patient Progression Rate,,tumor_pickup_date
CURLLWCS Cancer Center,Patient Progression Rate,,tumor_pickup_date
CURLLWCS Cancer Center,Patient Progression Rate,,tumor_pickup_date
CURLLWCS Cancer Center,Patient Progression Rate,,tumor_pickup_date
CURLLWCS Cancer Center,Patient Progression Rate,,tumor_pickup_date
CURLLWCS Cancer Center,Patient Progression Rate,,tumor_pickup_date
CURLLWCS Cancer Center,Patient Progression Rate,,tumor_pickup_date
CURLLWCS Cancer Center,Patient Progression Rate,,tumor_pickup_date
DHGRSSYT Cancer Center,Patient Progression Rate,,tumor_pickup_date
DHGRSSYT Cancer Center,Patient Progression Rate,,tumor_pickup_date
DHGRSSYT Cancer Center,Patient Progression Rate,,tumor_pickup_date
DHGRSSYT Cancer Center,Patient Progression Rate,,tumor_pickup_date
DHGRSSYT Cancer Center,Patient Progression Rate,,tumor_pickup_date
DHGRSSYT Cancer Center,Patient Progression Rate,,tumor_pickup_date
DHGRSSYT Cancer Center,Patient Progression Rate,,tumor_pickup_date
DJYLCQZW Cancer Center,Patient Progression Rate,,tumor_pickup_date
DJYLCQZW Cancer Center,Patient Progression Rate,,tumor_pickup_date
DJYLCQZW Cancer Center,Patient Progression Rate,,tumor_pickup_date
DJYLCQZW Cancer Center,Patient Progression Rate,,tumor_pickup_date
DJYLCQZW Cancer Center,Patient Progression Rate,,tumor_pickup_date
DJYLCQZW Cancer Center,Patient Progression Rate,,tumor_pickup_date
DJYLCQZW Cancer Center,Patient Progression Rate,,tumor_pickup_date
DJYLCQZW Cancer Center,Patient Progression Rate,,tumor_pickup_date
DOOJIVLV Cancer Center,Patient Progression Rate,,tumor_pickup_date
DOOJIVLV Cancer Center,Patient Progression Rate,,tumor_pickup_date
DOOJIVLV Cancer Center,Patient Progression Rate,,tumor_pickup_date
DOOJIVLV Cancer Center,Patient Progression Rate,,tumor_pickup_date
DOOJIVLV Cancer Center,Patient Progression Rate,,tumor_pickup_date
DOOJIVLV Cancer Center,Patient Progression Rate,,tumor_pickup_date
DPCQQCTK Cancer Center,Patient Progression Rate,,tumor_pickup_date
DPCQQCTK Cancer Center,Patient Progression Rate,,tumor_pickup_date
DPCQQCTK Cancer Center,Patient Progression Rate,,tumor_pickup_date
DPCQQCTK Cancer Center,Patient Progression Rate,,tumor_pickup_date
DPCQQCTK Cancer Center,Patient Progression Rate,,tumor_pickup_date
DPCQQCTK Cancer Center,Patient Progression Rate,,tumor_pickup_date
DPCQQCTK Cancer Center,Patient Progression Rate,,tumor_pickup_date
DPCQQCTK Cancer Center,Patient Progression Rate,,tumor_pickup_date
DPCQQCTK Cancer Center,Patient Progression Rate,,tumor_pickup_date
DPCQQCTK Cancer Center,Patient Progression Rate,,tumor_pickup_date
DQVCSDTK Cancer Center,Patient Progression Rate,,tumor_pickup_date
DQVCSDTK Cancer Center,Patient Progression Rate,,tumor_pickup_date
DQVCSDTK Cancer Center,Patient Progression Rate,,tumor_pickup_date
DQVCSDTK Cancer Center,Patient Progression Rate,,tumor_pickup_date
DQVCSDTK Cancer Center,Patient Progression Rate,,tumor_pickup_date
DQVCSDTK Cancer Center,Patient Progression Rate,,tumor_pickup_date
DYKMMUBC Cancer Center,Patient Progression Rate,,tumor_pickup_date
DYKMMUBC Cancer Center,Patient Progression Rate,,tumor_pickup_date
DYKMMUBC Cancer Center,Patient Progression Rate,,tumor_pickup_date
DYKMMUBC Cancer Center,Patient Progression Rate,,tumor_pickup_date
DYKMMUBC Cancer Center,Patient Progression Rate,,tumor_pickup_date
DYKMMUBC Cancer Center,Patient Progression Rate,,tumor_pickup_date
DYKMMUBC Cancer Center,Patient Progression Rate,,tumor_pickup_date
