scope,center,col_group,col_label,col_order,metric_group,metric,metric_order,value_type,value,row_label,col_final,value_display
Center,ADBVXDTE Cancer Center,Quarter,Q3'26 QTD,10,Patient Identification & Enrollment,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,3,count,0.0,03  TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,10 Q3'26 QTD,0
Center,ADBVXDTE Cancer Center,Quarter,Q3'26 QTD,10,Tumor Tissue Procurement,Completed TTPs,4,count,0.0,04  Completed TTPs,10 Q3'26 QTD,0
Center,ADBVXDTE Cancer Center,Quarter,Q3'26 QTD,10,Tumor Tissue Procurement,Scheduled TTPs,5,count,0.0,05  Scheduled TTPs,10 Q3'26 QTD,0
Center,ADBVXDTE Cancer Center,Quarter,Q3'26 QTD,10,Tumor Tissue Procurement,2nd Resections (Scheduled or Completed),6,count,0.0,06  2nd Resections (Scheduled or Completed),10 Q3'26 QTD,0
Center,ADBVXDTE Cancer Center,Quarter,Q3'26 QTD,10,AMTAGVI Regimen,Patient Related Drop-outs following TTP due to patient health,7,count,0.0,07  Patient Related Drop-outs following TTP due to patient health,10 Q3'26 QTD,0
Center,ADBVXDTE Cancer Center,Quarter,Q3'26 QTD,10,AMTAGVI Regimen,OOS Products,8,count,0.0,08  OOS Products,10 Q3'26 QTD,0
Center,ADBVXDTE Cancer Center,Quarter,Q3'26 QTD,10,AMTAGVI Regimen,Patient Progression Rate,9,rate,,09  Patient Progression Rate,10 Q3'26 QTD,
Center,ADBVXDTE Cancer Center,Quarter,Q3'26 QTD,10,AMTAGVI Regimen,AMTAGVI Infusions Performed,10,count,0.0,10  AMTAGVI Infusions Performed,10 Q3'26 QTD,0
Center,ADBVXDTE Cancer Center,Quarter,Q3'26 QTD,10,AMTAGVI Treatment Timelines,Median Time From Enrollment Date to TTP (Days),11,days,,11  Median Time From Enrollment Date to TTP (Days),10 Q3'26 QTD,
Center,ADBVXDTE Cancer Center,Quarter,Q3'26 QTD,10,AMTAGVI Treatment Timelines,Median Time From TTP to AMTAGVI Infusion (Days),12,days,,12  Median Time From TTP to AMTAGVI Infusion (Days),10 Q3'26 QTD,
Center,ADBVXDTE Cancer Center,Quarter,Q3'26 QTD,10,AMTAGVI Treatment Timelines,Median Time From Final Product Delivery Date to AMTAGVI Infusion (Days),13,days,,13  Median Time From Final Product Delivery Date to AMTAGVI Infusion (Days),10 Q3'26 QTD,
Center,ADBVXDTE Cancer Center,Quarter,Q2'26,11,Patient Identification & Enrollment,Enrollments in IovanceCares,1,count,4.0,01  Enrollments in IovanceCares,11 Q2'26,4
Center,ADBVXDTE Cancer Center,Quarter,Q2'26,11,Patient Identification & Enrollment,Patients Enrolled in IovanceCares,2,count,4.0,02  Patients Enrolled in IovanceCares,11 Q2'26,4
Center,ADBVXDTE Cancer Center,Quarter,Q2'26,11,Patient Identification & Enrollment,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,3,count,0.0,03  TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,11 Q2'26,0
Center,ADBVXDTE Cancer Center,Quarter,Q2'26,11,Tumor Tissue Procurement,Completed TTPs,4,count,1.0,04  Completed TTPs,11 Q2'26,1
Center,ADBVXDTE Cancer Center,Quarter,Q2'26,11,Tumor Tissue Procurement,Scheduled TTPs,5,count,3.0,05  Scheduled TTPs,11 Q2'26,3
Center,ADBVXDTE Cancer Center,Quarter,Q2'26,11,Tumor Tissue Procurement,2nd Resections (Scheduled or Completed),6,count,0.0,06  2nd Resections (Scheduled or Completed),11 Q2'26,0
Center,ADBVXDTE Cancer Center,Quarter,Q2'26,11,AMTAGVI Regimen,Patient Related Drop-outs following TTP due to patient health,7,count,0.0,07  Patient Related Drop-outs following TTP due to patient health,11 Q2'26,0
Center,ADBVXDTE Cancer Center,Quarter,Q2'26,11,AMTAGVI Regimen,OOS Products,8,count,0.0,08  OOS Products,11 Q2'26,0
Center,ADBVXDTE Cancer Center,Quarter,Q2'26,11,AMTAGVI Regimen,Patient Progression Rate,9,rate,0.333,09  Patient Progression Rate,11 Q2'26,33.3%
Center,ADBVXDTE Cancer Center,Quarter,Q2'26,11,AMTAGVI Regimen,AMTAGVI Infusions Performed,10,count,0.0,10  AMTAGVI Infusions Performed,11 Q2'26,0
Center,ADBVXDTE Cancer Center,Quarter,Q2'26,11,AMTAGVI Treatment Timelines,Median Time From Enrollment Date to TTP (Days),11,days,34.0,11  Median Time From Enrollment Date to TTP (Days),11 Q2'26,34.0
Center,ADBVXDTE Cancer Center,Quarter,Q2'26,11,AMTAGVI Treatment Timelines,Median Time From TTP to AMTAGVI Infusion (Days),12,days,,12  Median Time From TTP to AMTAGVI Infusion (Days),11 Q2'26,
Center,ADBVXDTE Cancer Center,Quarter,Q2'26,11,AMTAGVI Treatment Timelines,Median Time From Final Product Delivery Date to AMTAGVI Infusion (Days),13,days,,13  Median Time From Final Product Delivery Date to AMTAGVI Infusion (Days),11 Q2'26,
Center,ADBVXDTE Cancer Center,Quarter,Q1'26,12,Patient Identification & Enrollment,Enrollments in IovanceCares,1,count,2.0,01  Enrollments in IovanceCares,12 Q1'26,2
Center,ADBVXDTE Cancer Center,Quarter,Q1'26,12,Patient Identification & Enrollment,Patients Enrolled in IovanceCares,2,count,2.0,02  Patients Enrolled in IovanceCares,12 Q1'26,2
Center,ADBVXDTE Cancer Center,Quarter,Q1'26,12,Patient Identification & Enrollment,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,3,count,0.0,03  TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,12 Q1'26,0
Center,ADBVXDTE Cancer Center,Quarter,Q1'26,12,Tumor Tissue Procurement,Completed TTPs,4,count,3.0,04  Completed TTPs,12 Q1'26,3
Center,ADBVXDTE Cancer Center,Quarter,Q1'26,12,Tumor Tissue Procurement,Scheduled TTPs,5,count,0.0,05  Scheduled TTPs,12 Q1'26,0
Center,ADBVXDTE Cancer Center,Quarter,Q1'26,12,Tumor Tissue Procurement,2nd Resections (Scheduled or Completed),6,count,0.0,06  2nd Resections (Scheduled or Completed),12 Q1'26,0
Center,ADBVXDTE Cancer Center,Quarter,Q1'26,12,AMTAGVI Regimen,Patient Related Drop-outs following TTP due to patient health,7,count,1.0,07  Patient Related Drop-outs following TTP due to patient health,12 Q1'26,1
Center,ADBVXDTE Cancer Center,Quarter,Q1'26,12,AMTAGVI Regimen,OOS Products,8,count,0.0,08  OOS Products,12 Q1'26,0
Center,ADBVXDTE Cancer Center,Quarter,Q1'26,12,AMTAGVI Regimen,Patient Progression Rate,9,rate,0.333,09  Patient Progression Rate,12 Q1'26,33.3%
Center,ADBVXDTE Cancer Center,Quarter,Q1'26,12,AMTAGVI Regimen,AMTAGVI Infusions Performed,10,count,4.0,10  AMTAGVI Infusions Performed,12 Q1'26,4
Center,ADBVXDTE Cancer Center,Quarter,Q1'26,12,AMTAGVI Treatment Timelines,Median Time From Enrollment Date to TTP (Days),11,days,46.0,11  Median Time From Enrollment Date to TTP (Days),12 Q1'26,46.0
Center,ADBVXDTE Cancer Center,Quarter,Q1'26,12,AMTAGVI Treatment Timelines,Median Time From TTP to AMTAGVI Infusion (Days),12,days,51.5,12  Median Time From TTP to AMTAGVI Infusion (Days),12 Q1'26,51.5
Center,ADBVXDTE Cancer Center,Quarter,Q1'26,12,AMTAGVI Treatment Timelines,Median Time From Final Product Delivery Date to AMTAGVI Infusion (Days),13,days,5.0,13  Median Time From Final Product Delivery Date to AMTAGVI Infusion (Days),12 Q1'26,5.0
Center,ADBVXDTE Cancer Center,Quarter,Q4'25,13,Patient Identification & Enrollment,Enrollments in IovanceCares,1,count,8.0,01  Enrollments in IovanceCares,13 Q4'25,8
Center,ADBVXDTE Cancer Center,Quarter,Q4'25,13,Patient Identification & Enrollment,Patients Enrolled in IovanceCares,2,count,8.0,02  Patients Enrolled in IovanceCares,13 Q4'25,8
Center,ADBVXDTE Cancer Center,Quarter,Q4'25,13,Patient Identification & Enrollment,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,3,count,1.0,03  TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,13 Q4'25,1
Center,ADBVXDTE Cancer Center,Quarter,Q4'25,13,Tumor Tissue Procurement,Completed TTPs,4,count,3.0,04  Completed TTPs,13 Q4'25,3
Center,ADBVXDTE Cancer Center,Quarter,Q4'25,13,Tumor Tissue Procurement,Scheduled TTPs,5,count,0.0,05  Scheduled TTPs,13 Q4'25,0
Center,ADBVXDTE Cancer Center,Quarter,Q4'25,13,Tumor Tissue Procurement,2nd Resections (Scheduled or Completed),6,count,0.0,06  2nd Resections (Scheduled or Completed),13 Q4'25,0
Center,ADBVXDTE Cancer Center,Quarter,Q4'25,13,AMTAGVI Regimen,Patient Related Drop-outs following TTP due to patient health,7,count,0.0,07  Patient Related Drop-outs following TTP due to patient health,13 Q4'25,0
Center,ADBVXDTE Cancer Center,Quarter,Q4'25,13,AMTAGVI Regimen,OOS Products,8,count,0.0,08  OOS Products,13 Q4'25,0
Center,ADBVXDTE Cancer Center,Quarter,Q4'25,13,AMTAGVI Regimen,Patient Progression Rate,9,rate,0.0,09  Patient Progression Rate,13 Q4'25,0.0%
Center,ADBVXDTE Cancer Center,Quarter,Q4'25,13,AMTAGVI Regimen,AMTAGVI Infusions Performed,10,count,1.0,10  AMTAGVI Infusions Performed,13 Q4'25,1
Center,ADBVXDTE Cancer Center,Quarter,Q4'25,13,AMTAGVI Treatment Timelines,Median Time From Enrollment Date to TTP (Days),11,days,34.0,11  Median Time From Enrollment Date to TTP (Days),13 Q4'25,34.0
Center,ADBVXDTE Cancer Center,Quarter,Q4'25,13,AMTAGVI Treatment Timelines,Median Time From TTP to AMTAGVI Infusion (Days),12,days,28.0,12  Median Time From TTP to AMTAGVI Infusion (Days),13 Q4'25,28.0
Center,ADBVXDTE Cancer Center,Quarter,Q4'25,13,AMTAGVI Treatment Timelines,Median Time From Final Product Delivery Date to AMTAGVI Infusion (Days),13,days,7.0,13  Median Time From Final Product Delivery Date to AMTAGVI Infusion (Days),13 Q4'25,7.0
Center,ADBVXDTE Cancer Center,Time,Undated,5,Patient Identification & Enrollment,Enrollments in IovanceCares,1,count,0.0,01  Enrollments in IovanceCares,05 Undated,0
Center,ADBVXDTE Cancer Center,Time,Undated,5,Patient Identification & Enrollment,Patients Enrolled in IovanceCares,2,count,0.0,02  Patients Enrolled in IovanceCares,05 Undated,0
Center,ADBVXDTE Cancer Center,Time,Undated,5,Patient Identification & Enrollment,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,3,count,1.0,03  TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,05 Undated,1
Center,ADBVXDTE Cancer Center,Time,Undated,5,Tumor Tissue Procurement,Completed TTPs,4,count,0.0,04  Completed TTPs,05 Undated,0
Center,ADBVXDTE Cancer Center,Time,Undated,5,Tumor Tissue Procurement,Scheduled TTPs,5,count,0.0,05  Scheduled TTPs,05 Undated,0
Center,ADBVXDTE Cancer Center,Time,Undated,5,Tumor Tissue Procurement,2nd Resections (Scheduled or Completed),6,count,0.0,06  2nd Resections (Scheduled or Completed),05 Undated,0
Center,ADBVXDTE Cancer Center,Time,Undated,5,AMTAGVI Regimen,Patient Related Drop-outs following TTP due to patient health,7,count,0.0,07  Patient Related Drop-outs following TTP due to patient health,05 Undated,0
Center,ADBVXDTE Cancer Center,Time,Undated,5,AMTAGVI Regimen,OOS Products,8,count,0.0,08  OOS Products,05 Undated,0
Center,ADBVXDTE Cancer Center,Time,Undated,5,AMTAGVI Regimen,Patient Progression Rate,9,rate,0.1,09  Patient Progression Rate,05 Undated,10.0%
Center,ADBVXDTE Cancer Center,Time,Undated,5,AMTAGVI Regimen,AMTAGVI Infusions Performed,10,count,0.0,10  AMTAGVI Infusions Performed,05 Undated,0
Center,ADBVXDTE Cancer Center,Time,Undated,5,AMTAGVI Treatment Timelines,Median Time From Enrollment Date to TTP (Days),11,days,,11  Median Time From Enrollment Date to TTP (Days),05 Undated,
Center,ADBVXDTE Cancer Center,Time,Undated,5,AMTAGVI Treatment Timelines,Median Time From TTP to AMTAGVI Infusion (Days),12,days,,12  Median Time From TTP to AMTAGVI Infusion (Days),05 Undated,
Center,ADBVXDTE Cancer Center,Time,Undated,5,AMTAGVI Treatment Timelines,Median Time From Final Product Delivery Date to AMTAGVI Infusion (Days),13,days,,13  Median Time From Final Product Delivery Date to AMTAGVI Infusion (Days),05 Undated,
Center,ADBVXDTE Cancer Center,Time,After as-of,6,Patient Identification & Enrollment,Enrollments in IovanceCares,1,count,0.0,01  Enrollments in IovanceCares,06 After as-of,0
Center,ADBVXDTE Cancer Center,Time,After as-of,6,Patient Identification & Enrollment,Patients Enrolled in IovanceCares,2,count,0.0,02  Patients Enrolled in IovanceCares,06 After as-of,0
Center,ADBVXDTE Cancer Center,Time,After as-of,6,Patient Identification & Enrollment,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,3,count,0.0,03  TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,06 After as-of,0
Center,ADBVXDTE Cancer Center,Time,After as-of,6,Tumor Tissue Procurement,Completed TTPs,4,count,0.0,04  Completed TTPs,06 After as-of,0
Center,ADBVXDTE Cancer Center,Time,After as-of,6,Tumor Tissue Procurement,Scheduled TTPs,5,count,3.0,05  Scheduled TTPs,06 After as-of,3
Center,ADBVXDTE Cancer Center,Time,After as-of,6,Tumor Tissue Procurement,2nd Resections (Scheduled or Completed),6,count,0.0,06  2nd Resections (Scheduled or Completed),06 After as-of,0
Center,ADBVXDTE Cancer Center,Time,After as-of,6,AMTAGVI Regimen,Patient Related Drop-outs following TTP due to patient health,7,count,0.0,07  Patient Related Drop-outs following TTP due to patient health,06 After as-of,0
Center,ADBVXDTE Cancer Center,Time,After as-of,6,AMTAGVI Regimen,OOS Products,8,count,0.0,08  OOS Products,06 After as-of,0
Center,ADBVXDTE Cancer Center,Time,After as-of,6,AMTAGVI Regimen,Patient Progression Rate,9,rate,0.5,09  Patient Progression Rate,06 After as-of,50.0%
Center,ADBVXDTE Cancer Center,Time,After as-of,6,AMTAGVI Regimen,AMTAGVI Infusions Performed,10,count,2.0,10  AMTAGVI Infusions Performed,06 After as-of,2
Center,ADBVXDTE Cancer Center,Time,After as-of,6,AMTAGVI Treatment Timelines,Median Time From Enrollment Date to TTP (Days),11,days,33.0,11  Median Time From Enrollment Date to TTP (Days),06 After as-of,33.0
Center,ADBVXDTE Cancer Center,Time,After as-of,6,AMTAGVI Treatment Timelines,Median Time From TTP to AMTAGVI Infusion (Days),12,days,48.5,12  Median Time From TTP to AMTAGVI Infusion (Days),06 After as-of,48.5
Center,ADBVXDTE Cancer Center,Time,After as-of,6,AMTAGVI Treatment Timelines,Median Time From Final Product Delivery Date to AMTAGVI Infusion (Days),13,days,1.5,13  Median Time From Final Product Delivery Date to AMTAGVI Infusion (Days),06 After as-of,1.5
Center,ATMSRLIQ Cancer Center,Time,Launch to Date,1,Patient Identification & Enrollment,Enrollments in IovanceCares,1,count,24.0,01  Enrollments in IovanceCares,01 Launch to Date,24
Center,ATMSRLIQ Cancer Center,Time,Launch to Date,1,Patient Identification & Enrollment,Patients Enrolled in IovanceCares,2,count,24.0,02  Patients Enrolled in IovanceCares,01 Launch to Date,24
Center,ATMSRLIQ Cancer Center,Time,Launch to Date,1,Patient Identification & Enrollment,TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,3,count,2.0,03  TTPs Cancelled or Rescheduled within 7 Days Prior to Slot Reservation,01 Launch to Date,2
Center,ATMSRLIQ Cancer Center,Time,Launch to Date,1,Tumor Tissue Procurement,Completed TTPs,4,count,16.0,04  Completed TTPs,01 Launch to Date,16
Center,ATMSRLIQ Cancer Center,Time,Launch to Date,1,Tumor Tissue Procurement,Scheduled TTPs,5,count,0.0,05  Scheduled TTPs,01 Launch to Date,0
Center,ATMSRLIQ Cancer Center,Time,Launch to Date,1,Tumor Tissue Procurement,2nd Resections (Scheduled or Completed),6,count,0.0,06  2nd Resections (Scheduled or Completed),01 Launch to Date,0
Center,ATMSRLIQ Cancer Center,Time,Launch to Date,1,AMTAGVI Regimen,Patient Related Drop-outs following TTP due to patient health,7,count,1.0,07  Patient Related Drop-outs following TTP due to patient health,01 Launch to Date,1
Center,ATMSRLIQ Cancer Center,Time,Launch to Date,1,AMTAGVI Regimen,OOS Products,8,count,0.0,08  OOS Products,01 Launch to Date,0
Center,ATMSRLIQ Cancer Center,Time,Launch to Date,1,AMTAGVI Regimen,Patient Progression Rate,9,rate,0.111,09  Patient Progression Rate,01 Launch to Date,11.1%
Center,ATMSRLIQ Cancer Center,Time,Launch to Date,1,AMTAGVI Regimen,AMTAGVI Infusions Performed,10,count,8.0,10  AMTAGVI Infusions Performed,01 Launch to Date,8
Center,ATMSRLIQ Cancer Center,Time,Launch to Date,1,AMTAGVI Treatment Timelines,Median Time From Enrollment Date to TTP (Days),11,days,37.0,11  Median Time From Enrollment Date to TTP (Days),01 Launch to Date,37.0
Center,ATMSRLIQ Cancer Center,Time,Launch to Date,1,AMTAGVI Treatment Timelines,Median Time From TTP to AMTAGVI Infusion (Days),12,days,55.0,12  Median Time From TTP to AMTAGVI Infusion (Days),01 Launch to Date,55.0
